LAT,LON,YEAR,MO,DY,WS10M
20,72.5,2025,2,27,2.89
20,73.125,2025,2,27,3.59
20,73.75,2025,2,27,3.32
20,74.375,2025,2,27,2.77
18.5,71.875,2025,2,28,5.67
18.5,72.5,2025,2,28,5.7
18.5,73.125,2025,2,28,3.14
18.5,73.75,2025,2,28,2.56
18.5,74.375,2025,2,28,2.36
19,71.875,2025,2,28,5.26
19,72.5,2025,2,28,5.23
19,73.125,2025,2,28,3.09
19,73.75,2025,2,28,2.62
19,74.375,2025,2,28,2.03
19.5,71.875,2025,2,28,4.72
19.5,72.5,2025,2,28,4.35
19.5,73.125,2025,2,28,3
19.5,73.75,2025,2,28,2.42
19.5,74.375,2025,2,28,1.81
20,71.875,2025,2,28,4.1
20,72.5,2025,2,28,3.7
20,73.125,2025,2,28,2.61
20,73.75,2025,2,28,2.15
20,74.375,2025,2,28,1.8
18.5,71.875,2025,3,1,6.58
18.5,72.5,2025,3,1,5.9
18.5,73.125,2025,3,1,3.29
18.5,73.75,2025,3,1,3.15
18.5,74.375,2025,3,1,2.55
19,71.875,2025,3,1,6.44
19,72.5,2025,3,1,5.93
19,73.125,2025,3,1,3.22
19,73.75,2025,3,1,3.22
19,74.375,2025,3,1,2.77
19.5,71.875,2025,3,1,6.1
19.5,72.5,2025,3,1,5.63
19.5,73.125,2025,3,1,3.25
19.5,73.75,2025,3,1,3.17
19.5,74.375,2025,3,1,2.73
20,71.875,2025,3,1,5.44
20,72.5,2025,3,1,5.25
20,73.125,2025,3,1,3.14
20,73.75,2025,3,1,3.08
20,74.375,2025,3,1,2.73
18.5,71.875,2025,3,2,7.5
18.5,72.5,2025,3,2,7.04
18.5,73.125,2025,3,2,3.82
18.5,73.75,2025,3,2,3.04
18.5,74.375,2025,3,2,2.96
19,71.875,2025,3,2,6.99
19,72.5,2025,3,2,6.62
19,73.125,2025,3,2,3.75
19,73.75,2025,3,2,3.05
19,74.375,2025,3,2,2.91
19.5,71.875,2025,3,2,6.19
19.5,72.5,2025,3,2,5.83
19.5,73.125,2025,3,2,3.84
19.5,73.75,2025,3,2,3.24
19.5,74.375,2025,3,2,2.88
20,71.875,2025,3,2,5.42
20,72.5,2025,3,2,5.19
20,73.125,2025,3,2,3.73
20,73.75,2025,3,2,3.52
20,74.375,2025,3,2,3.19
18.5,71.875,2025,3,3,7.29
18.5,72.5,2025,3,3,7.05
18.5,73.125,2025,3,3,4.43
18.5,73.75,2025,3,3,3.59
18.5,74.375,2025,3,3,3.75
19,71.875,2025,3,3,6.75
19,72.5,2025,3,3,6.5
19,73.125,2025,3,3,4.4
19,73.75,2025,3,3,3.64
19,74.375,2025,3,3,3.81
19.5,71.875,2025,3,3,5.86
19.5,72.5,2025,3,3,5.74
19.5,73.125,2025,3,3,4.53
19.5,73.75,2025,3,3,3.85
19.5,74.375,2025,3,3,3.86
20,71.875,2025,3,3,4.81
20,72.5,2025,3,3,4.91
20,73.125,2025,3,3,4.47
20,73.75,2025,3,3,4.12
20,74.375,2025,3,3,4.09
18.5,71.875,2025,3,4,9.19
18.5,72.5,2025,3,4,8.45
18.5,73.125,2025,3,4,5.01
18.5,73.75,2025,3,4,4
18.5,74.375,2025,3,4,4.08
19,71.875,2025,3,4,8.61
19,72.5,2025,3,4,8.16
19,73.125,2025,3,4,4.99
19,73.75,2025,3,4,3.9
19,74.375,2025,3,4,4.05
19.5,71.875,2025,3,4,7.83
19.5,72.5,2025,3,4,7.78
19.5,73.125,2025,3,4,5.26
19.5,73.75,2025,3,4,4
19.5,74.375,2025,3,4,3.94
20,71.875,2025,3,4,6.98
20,72.5,2025,3,4,7.21
20,73.125,2025,3,4,5.19
20,73.75,2025,3,4,4.24
20,74.375,2025,3,4,4.1
18.5,71.875,2025,3,5,8.98
18.5,72.5,2025,3,5,7.73
18.5,73.125,2025,3,5,4.01
18.5,73.75,2025,3,5,3.39
18.5,74.375,2025,3,5,3.9
19,71.875,2025,3,5,8.93
19,72.5,2025,3,5,7.57
19,73.125,2025,3,5,4.05
19,73.75,2025,3,5,3.52
19,74.375,2025,3,5,3.94
19.5,71.875,2025,3,5,8.9
19.5,72.5,2025,3,5,7.42
19.5,73.125,2025,3,5,4.52
19.5,73.75,2025,3,5,4.04
19.5,74.375,2025,3,5,3.98
20,71.875,2025,3,5,8.75
20,72.5,2025,3,5,7.61
20,73.125,2025,3,5,4.9
20,73.75,2025,3,5,4.5
20,74.375,2025,3,5,4.26
18.5,71.875,2025,3,6,7.11
18.5,72.5,2025,3,6,5.75
18.5,73.125,2025,3,6,4.54
18.5,73.75,2025,3,6,3.48
18.5,74.375,2025,3,6,3.25
19,71.875,2025,3,6,6.94
19,72.5,2025,3,6,5.81
19,73.125,2025,3,6,4.34
19,73.75,2025,3,6,3.46
19,74.375,2025,3,6,3.35
19.5,71.875,2025,3,6,6.55
19.5,72.5,2025,3,6,5.79
19.5,73.125,2025,3,6,4.38
19.5,73.75,2025,3,6,3.59
19.5,74.375,2025,3,6,3.3
20,71.875,2025,3,6,5.72
20,72.5,2025,3,6,5.72
20,73.125,2025,3,6,4.5
20,73.75,2025,3,6,3.8
20,74.375,2025,3,6,3.26
